Url,Format,Duration,Bit rate ,Width,Height,Frame rate,,User time (seconds),System time (seconds),Percent of CPU this job got,Elapsed (wall clock) time (h:mm:ss or m:ss)
https://streams.videolan.org/samples/postprocess/BP_Parade_X_FINAL_Video-Thl.mpeg,mpeg2video (Main),3 min 38 s,1 838 kb/s,480 pixels,576 pixels,25.000 FPS,std_test_1,265.48,0.98,391%,1:08.05
,,,,,,,std_test_2,265.43,1.11,390%,1:08.20
,,,,,,,std_test_3,265.76,0.92,391%,1:08.12
,,,,,,,tcmalloc_test_1,264.94,0.87,391%,1:07.86
,,,,,,,tcmalloc_test_2,264.83,0.78,389%,1:08.12
,,,,,,,tcmalloc_test_3,264.87,0.90,392%,1:07.75
http://samples.ffmpeg.org/MXF/C0023S01.mxf,mpeg4,3 s 800 ms,2 483 kb/s,352 pixels,288 pixels,25.000 FPS,std_test_1,0.64,0.04,227%,0:00.30
,,,,,,,std_test_2,0.66,0.01,224%,0:00.30
,,,,,,,std_test_3,0.65,0.02,227%,0:00.29
,,,,,,,tcmalloc_test_1,0.70,0.02,215%,0:00.34
,,,,,,,tcmalloc_test_2,0.66,0.03,228%,0:00.30
,,,,,,,tcmalloc_test_3,0.66,0.02,226%,0:00.30
http://samples.ffmpeg.org/MPEG2/dvd.mpeg,mpeg2video (Main),29 s 400 ms,6 278 kb/s,720 pixels,576 pixels,25.000 FPS,std_test_1,22.32,0.42,182%,0:12.43
,,,,,,,std_test_2,22.24,0.30,256%,0:08.78
,,,,,,,std_test_3,22.14,0.29,255%,0:08.80
,,,,,,,tcmalloc_test_1,19.64,0.13,320%,0:06.18
,,,,,,,tcmalloc_test_2,19.75,0.13,316%,0:06.28
,,,,,,,tcmalloc_test_3,19.79,0.30,314%,0:06.39
http://samples.ffmpeg.org/MPEG2/res_change_ffmpeg_aspect.ts,mpeg2video (Main) ([2][0][0][0] / 0x0002),3 s 413 ms,3 833 kb/s,704 pixels,576 pixels,25.000 FPS,std_test_1,03.05,0.02,295%,0:01.04
,,,,,,,std_test_2,3.11,0.08,305%,0:01.04
,,,,,,,std_test_3,3.15,0.07,298%,0:01.02
,,,,,,,tcmalloc_test_1,3.00,0.05,302%,0:01.01
,,,,,,,tcmalloc_test_2,3.16,0.07,314%,0:01.03
,,,,,,,tcmalloc_test_3,3.14,0.06,307%,0:01.04
http://samples.ffmpeg.org/MPEG2/Futurama1-tmp.avi,mpeg2video (Main) (mpg2 / 0x3267706D),54 s 500 ms,2 500 kb/s,480 pixels,480 pixels,23.976 FPS,std_test_1,0.63,0.05,190%,0:00.36
,,,,,,,std_test_2,0.69,0.03,176%,0:00.41
,,,,,,,std_test_3,0.66,0.03,174%,0:00.40
,,,,,,,tcmalloc_test_1,0.69,0.03,183%,0:00.39
,,,,,,,tcmalloc_test_2,0.64,0.04,188%,0:00.36
,,,,,,,tcmalloc_test_3,0.65,0.03,180%,0:00.38
https://www.youtube.com/watch?v=U-YLFFf4X0A&t=2095s,h264 (High) (avc1 / 0x31637661),1 h 0 min,1 649 kb/s,1 280 pixels,720 pixels,30.000 FPS,std_test_1,7769.80,22.73,382%,33:59.59
,,,,,,,std_test_2,7766.51,22.77,382%,33:56.80
,,,,,,,std_test_3,7763.15,24.11,380%,34:06.59
,,,,,,,tcmalloc_test_1,7807.25,23.17,383%,34:01.90
,,,,,,,tcmalloc_test_2,7806.27,22.48,383%,34:01.81
,,,,,,,tcmalloc_test_3,7801.59,22.91,382%,34:05.04
http://samples.ffmpeg.org/4khdr/Passengers_Breakfast_4K.mkv,hevc (Main 10),30 s 281 ms,38.1 Mb/s,3 840 pixels,2 160 pixels,23.976 FPS,std_test_1,470.17,01.04,381%,2:03.45
,,,,,,,std_test_2,474.28,0.98,383%,2:03.89
,,,,,,,std_test_3,475.99,0.87,383%,2:04.22
,,,,,,,tcmalloc_test_1,472.47,1.00,383%,2:03.36
,,,,,,,tcmalloc_test_2,477.35,0.96,383%,2:04.57
,,,,,,,tcmalloc_test_3,472.53,0.99,384%,2:03.11
http://samples.ffmpeg.org/4khdr/Passengers_Breakfast_1080-sdr.mkv,h264 (High),30 s 281 ms,26.7 Mb/s,1 920 pixels,1 080 pixels,23.976 FPS,std_test_1,112.45,0.37,378%,0:29.79
,,,,,,,std_test_2,112.76,0.35,380%,0:29.69
,,,,,,,std_test_3,112.82,0.41,379%,0:29.81
,,,,,,,tcmalloc_test_1,112.90,0.36,381%,0:29.70
,,,,,,,tcmalloc_test_2,112.96,0.38,378%,0:29.94
,,,,,,,tcmalloc_test_3,113.08,0.35,379%,0:29.86
http://samples.ffmpeg.org/Matroska/wmaproEOF.mkv,wmv3 (Main) (WMV3 / 0x33564D57),25 min 20 s,55.2 kb/s,704 pixels,396 pixels,24.000 FPS,std_test_1,22.39,0.19,312%,0:07.22
,,,,,,,std_test_2,22.50,0.18,316%,0:07.16
,,,,,,,std_test_3,22.52,0.18,317%,0:07.15
,,,,,,,tcmalloc_test_1,22.34,0.15,308%,0:07.30
,,,,,,,tcmalloc_test_2,23.51,0.19,317%,0:07.46
,,,,,,,tcmalloc_test_3,22.32,0.14,316%,0:07.11
http://samples.ffmpeg.org/Matroska/theora.mkv,theora,6 s 381 ms,12.4 Mb/s,1 280 pixels,720 pixels,23.976 FPS,std_test_1,12.03,0.09,367%,0:03.29
,,,,,,,std_test_2,12.44,0.11,371%,0:03.38
,,,,,,,std_test_3,12.43,0.12,369%,0:03.39
,,,,,,,tcmalloc_test_1,12.47,0.13,369%,0:03.40
,,,,,,,tcmalloc_test_2,12.49,0.11,366%,0:03.43
,,,,,,,tcmalloc_test_3,12.46,0.11,363%,0:03.45
https://streams.videolan.org/benchmark/8_AVC_8bits_3840x2160_25_000fps.mkv,h264 (Main),20 s 0 ms,114 Mb/s,3 840 pixels,2 160 pixels,25.000 FPS,std_test_1,1057.25,8.36,292%,6:03.92
,,,,,,,std_test_2,1022.13,7.58,284%,6:02.08
,,,,,,,std_test_3,1025.80,6.42,272%,6:19.24
,,,,,,,tcmalloc_test_1,985.59,2.43,385%,4:16.21
,,,,,,,tcmalloc_test_2,981.20,1.87,385%,4:14.96
,,,,,,,tcmalloc_test_3,975.63,1.28,392%,4:08.94
https://streams.videolan.org/benchmark/9_AVC_8bits_3840x2160_60_000fps.mkv,h264 (Main),20 s 0 ms,114 Mb/s,3 840 pixels,2 160 pixels,60.000 FPS,std_test_1,751.29,4.46,334%,3:45.74
,,,,,,,std_test_2,752.33,4.89,346%,3:38.57
,,,,,,,std_test_3,753.54,4.42,347%,3:38.34
,,,,,,,tcmalloc_test_1,723.42,4.24,339%,3:34.21
,,,,,,,tcmalloc_test_2,702.83,0.98,390%,3:00.20
